Dot Point Measurements

Generated: Tuesday 12 September 2023 18:23:44

Filename	Frame	Time (HMS)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	CATAMI_L2_L3	CATAMI_L4	CATAMI_L5	CATAMI_L6_L7	AMC	FieldOfView	Relief	uuid	Radius %
M_1.jpg	      0		869	2823	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable	Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	52.1
M_1.jpg	      0		1729	145	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable		1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	91.2
M_1.jpg	      0		1816	406	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable		1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	79.6
M_1.jpg	      0		2062	1586	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable		1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	39.1
M_1.jpg	      0		1812	1493	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable		1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	31.2
M_1.jpg	      0		2013	1806	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable		1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	33.4
M_1.jpg	      0		1781	1364	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable		1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	35.0
M_1.jpg	      0		1726	1363	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable		1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	33.4
M_1.jpg	      0		1873	608	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable		1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	70.9
M_1.jpg	      0		2072	370	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable		1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	85.8
M_1.jpg	      0		1776	1631	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable		1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	25.4
