"campaignid","sample","longitude","latitude","location","planned.or.exploratory","broad.ascidians","broad.bryozoa","broad.macroalgae","broad.octocoral.black","broad.sponges","broad.unconsolidated","total.points.annotated","broad.consolidated","broad.hydroids","depth","broad.crinoids","broad.invertebrate.complex","broad.seagrasses","broad.stony.corals","broad.true.anemones","broad.seagrasses_amphibolis.sp.","broad.seagrasses_posidonia.sp.","broad.seagrasses_halophila.sp.","broad.seagrasses_rupia.sp.","broad.seagrasses_zostera.sp.","broad.echinodermata","broad.sea.stars","broad.zoanthids","broad.seagrasses_thalassodendron.sp."
"Beagle_AMP_Stereo_BRUV","10","147.083","-39.4073","Beagle AMP","MBH","0","2","0","2","6","0",NA,"0","3",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","11","147.002","-39.3172","Beagle AMP","MBH","0","0","0","0","2","0",NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","12","147.514","-39.4864","Beagle AMP","MBH","0","1","0","0","7","0",NA,"0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","13","147.127","-39.049","Beagle AMP","MBH","0","1","0","0","0","0",NA,"0","2",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","14","147.143","-39.44","Beagle AMP","MBH","0","1","0","0","1","11",NA,"0","2",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","15","146.663","-39.3352","Beagle AMP","MBH","0","0","0","2","1","0",NA,"0","2",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","16","147.518","-39.597","Beagle AMP","MBH","0","0","0","0","1","0",NA,"0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","18","147.533","-39.5403","Beagle AMP","MBH","1","1","0","0","9","0",NA,"0","2",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","21","147.503","-39.5196","Beagle AMP","MBH","0","2","0","0","6","0",NA,"0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","22","147.118","-39.3095","Beagle AMP","MBH","0","1","0","1","4","0",NA,"0","2",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","23","147.118","-39.1","Beagle AMP","MBH","0","0","0","0","4","0",NA,"0","3",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","24","146.879","-39.3826","Beagle AMP","MBH","0","2","0","0","0","0",NA,"0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
