campaignid,sample,broad.ascidians,broad.bryozoa,broad.consolidated,broad.crinoids,broad.hydroids,broad.invertebrate.complex,broad.macroalgae,broad.octocoral.black,broad.reef,broad.seagrasses,broad.sponges,broad.stony.corals,broad.total.points.annotated,broad.true.anemones,broad.unconsolidated,fov.facing.up,fov.limited,fov.open,mean.relief,method,sd.relief,planned.or.exploratory,latitude,longitude,date,time,location,site,depth,successful.count,successful.length,commonwealth.zone,state.zone,status
2020-10_south-west_stereo-BRUVs,FH28,0,0,1,0,0,0,0,0,1,0,0,0,32,0,31,0,3,37,0.76,BRUV,0.663324958,MBH,-33.76368897,114.9338721,20201017,9:24:00,South-west,C.FH.9,44.7,Yes,Yes,NA,NA,Fished
2020-10_south-west_stereo-BRUVs,FH30,0,0,0,0,0,0,29,0,29,0,0,0,31,0,2,0,3,37,2.818181818,BRUV,0.394771017,MBH,-33.75118897,114.8888721,20201017,11:12:00,South-west,C.FH.8,46.2,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH31,0,0,4,0,0,0,27,0,31,0,0,0,37,0,6,0,0,40,2.392857143,BRUV,0.685256682,MBH,-33.67368897,114.8238721,20201012,8:27:00,South-west,C.FH.2,45.4,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH32,0,0,0,0,0,0,0,0,4,0,4,0,20,0,16,20,0,20,0.9375,BRUV,0.928708781,MBH,-33.69618897,114.9463721,20201017,8:50:00,South-west,C.FH.5,42.9,Yes,No,NA,Injidup Sanctuary Zone,No-take
2020-10_south-west_stereo-BRUVs,FH33,0,0,7,0,0,0,9,0,26,5,5,0,32,0,6,0,2,38,2.227272727,BRUV,0.611930449,MBH,-33.70868897,114.8263721,20201012,10:54:00,South-west,C.FH.6,42.3,Yes,No,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH34,1,0,14,0,1,0,6,0,26,2,2,0,31,0,5,0,2,37,2.166666667,BRUV,0.637022057,MBH,-33.78618897,114.8838721,20201017,11:51:00,South-west,C.FH.11,44.8,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH35,0,0,2,0,0,0,0,0,2,0,0,0,20,0,18,0,1,39,0.5,BRUV,0.516397779,MBH,-33.88368897,114.9313721,20201029,15:09:00,South-west,C.FH.17,45.2,Yes,Yes,NA,NA,Fished
2020-10_south-west_stereo-BRUVs,FH37,0,0,12,0,0,0,6,0,21,1,2,0,25,0,4,0,5,35,2.423076923,BRUV,0.503831474,MBH,-33.71118897,114.8138721,20201012,11:03:00,South-west,C.FH.6,44.2,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH39,0,1,2,0,0,0,13,0,23,0,6,0,29,1,6,0,0,40,2.083333333,BRUV,0.503610155,MBH,-33.90368897,114.9313721,20201029,14:44:00,South-west,C.FH.18,44.8,Yes,Yes,NA,NA,Fished
2020-10_south-west_stereo-BRUVs,FH40,0,0,1,0,0,0,17,0,20,0,2,0,29,0,9,0,4,36,2.130434783,BRUV,0.757048565,MBH,-33.92368897,114.8888721,20201029,12:40:00,South-west,C.FH.21,42.9,Yes,No,Special Purpose Zone (Mining Exclusion),NA,Fished
