campaignid,sample,longitude,latitude,date,status,location,depth,inclusion.probabilities,fov,relief,broad.openwater,broad.ascidians,broad.bryozoa,broad.consolidated,broad.hydroids,broad.octocoral.black,broad.sponges,broad.unconsolidated.sand,broad.unconsolidated.bivalves,broad.unconsolidated.screwshells,broad.unconsolidated.biogenic,broad.total.points.annotated,broad.total.points.annotated.minus.openwater,planned.or.exploratory
Beagle_AMP_Stereo_BRUV,16,147.518,-39.597,22/10/2018,Fished,Beagle AMP,51,0.015867859,Open,0,5,,,,1,,1,10,1,2,,20,15,MBH
Beagle_AMP_Stereo_BRUV,18,147.533,-39.5403,22/10/2018,Fished,Beagle AMP,53,0.015898785,Open,2,5,1,1,,2,,9,2,,,,20,15,MBH
Beagle_AMP_Stereo_BRUV,21,147.503,-39.5196,22/10/2018,Fished,Beagle AMP,55,0.015867739,Open,2,5,,2,,1,,6,5,1,,,20,15,MBH
Beagle_AMP_Stereo_BRUV,22,147.118,-39.3095,26/09/2018,IV,Beagle AMP,61,0.287053323,Open,2,10,,1,,2,1,4,2,,,,20,10,MBH
Beagle_AMP_Stereo_BRUV,23,147.118,-39.1,21/10/2018,Fished,Beagle AMP,59,0.01515253,Open,1,5,,,,3,,4,2,,6,,20,15,MBH
Beagle_AMP_Stereo_BRUV,24,146.879,-39.3826,26/09/2018,IV,Beagle AMP,65,0.000377812,Open,0,5,,2,,1,,,6,2,4,,20,15,MBH
Beagle_AMP_Stereo_BRUV,25,147.149,-39.3661,25/09/2018,IV,Beagle AMP,57,0.283652154,Limited,3,,,2,,2,1,12,3,,,,20,20,MBH
Beagle_AMP_Stereo_BRUV,26,147.499,-39.595,22/10/2018,Fished,Beagle AMP,53,0.015466793,Open,0,5,1,,,,,2,10,,2,,20,15,MBH
Beagle_AMP_Stereo_BRUV,28,147.127,-39.3375,25/09/2018,IV,Beagle AMP,61,0.287032312,Open,1,3,,2,,,1,4,6,1,3,,20,17,MBH
Beagle_AMP_Stereo_BRUV,29,147.534,-39.5098,22/10/2018,Fished,Beagle AMP,54,0.015910056,Open,2,,,8,,,1,7,4,,,,20,20,MBH
Beagle_AMP_Stereo_BRUV,30,147.107,-39.2961,26/09/2018,IV,Beagle AMP,60,0.287066808,Open,2,10,,1,,2,,6,1,,,,20,10,MBH
Beagle_AMP_Stereo_BRUV,31,147.11,-39.3479,25/09/2018,IV,Beagle AMP,62,0.286674565,Open,0,10,,2,,,,1,5,,2,,20,10,MBH
Beagle_AMP_Stereo_BRUV,32,147.145,-39.0637,21/10/2018,Fished,Beagle AMP,58,0.01515253,Open,1,5,,1,,2,,,6,3,1,2,20,15,MBH
Beagle_AMP_Stereo_BRUV,34,147.081,-39.0492,21/10/2018,Fished,Beagle AMP,56,0.01515253,Open,0,5,,,,1,,1,1,,10,2,20,15,MBH
Beagle_AMP_Stereo_BRUV,35,147.526,-39.557,22/10/2018,Fished,Beagle AMP,52,0.015814248,Open,1,5,2,,,,,3,9,1,,,20,15,MBH
Beagle_AMP_Stereo_BRUV,36,147.074,-39.4101,24/09/2018,IV,Beagle AMP,62,0.239518415,Open,0,5,,2,,4,,3,6,,,,20,15,MBH
Beagle_AMP_Stereo_BRUV,37,147.125,-39.343,25/09/2018,IV,Beagle AMP,62,0.286955522,Open,1,7,,1,,2,,,4,,6,,20,13,MBH
Beagle_AMP_Stereo_BRUV,38,147.32,-39.3163,2/10/2018,IV,Beagle AMP,59,0.000299233,Open,1,5,,1,,1,3,1,3,1,5,,20,15,MBH
Beagle_AMP_Stereo_BRUV,39,147.153,-39.0917,21/10/2018,Fished,Beagle AMP,58,0.01515253,Open,2,5,,,,2,,5,2,,3,3,20,15,MBH
Beagle_AMP_Stereo_BRUV,40,146.616,-39.1133,19/10/2018,IV,Beagle AMP,59,0.000422362,Open,1,5,,,,2,1,1,,1,,10,20,15,MBH
Beagle_AMP_Stereo_BRUV,41,147.105,-39.058,21/10/2018,Fished,Beagle AMP,56,0.01515253,Open,1,5,,,,2,,3,,,5,5,20,15,MBH
Beagle_AMP_Stereo_BRUV,42,147.14,-39.4349,24/09/2018,IV,Beagle AMP,64,0.259829859,Open,1,8,,,,,7,1,4,,,,20,12,MBH
Beagle_AMP_Stereo_BRUV,43,147.15,-39.375,25/09/2018,IV,Beagle AMP,61,0.276536925,Open,2,7,,2,,1,,5,2,,3,,20,13,MBH
Beagle_AMP_Stereo_BRUV,44,147.134,-39.3244,26/09/2018,IV,Beagle AMP,60,0.286862003,Open,2,10,,1,,3,1,5,,,,,20,10,MBH
Beagle_AMP_Stereo_BRUV,46,147.185,-39.4438,24/09/2018,IV,Beagle AMP,61,0.287016363,Open,0,5,,1,,1,,1,8,,4,,20,15,MBH
Beagle_AMP_Stereo_BRUV,47,147.155,-39.3782,25/09/2018,IV,Beagle AMP,62,0.277359762,Open,0,10,,1,,1,,1,2,3,2,,20,10,MBH
Beagle_AMP_Stereo_BRUV,48,147.507,-39.5514,22/10/2018,Fished,Beagle AMP,54,0.014952987,Open,2,,,2,,1,1,10,6,,,,20,20,MBH
Beagle_AMP_Stereo_BRUV,49,147.152,-39.3677,25/09/2018,IV,Beagle AMP,61,0.283535275,Open,4,8,,1,,1,,9,1,,,,20,12,MBH
Beagle_AMP_Stereo_BRUV,50,147.166,-39.4435,24/09/2018,IV,Beagle AMP,62,0.286235058,Open,0,10,,1,,,,,3,1,5,,20,10,MBH
Beagle_AMP_Stereo_BRUV,51,147.487,-39.5101,22/10/2018,Fished,Beagle AMP,55,0.015887206,Open,2,5,,2,,1,,8,2,2,,,20,15,MBH
Beagle_AMP_Stereo_BRUV,52,147.516,-39.5292,22/10/2018,Fished,Beagle AMP,54,0.015865685,Open,2,3,,3,,2,1,9,2,,,,20,17,MBH
Beagle_AMP_Stereo_BRUV,53,147.148,-39.086,21/10/2018,Fished,Beagle AMP,58,0.01515253,Open,0,5,,1,,1,,,2,1,5,5,20,15,MBH
Beagle_AMP_Stereo_BRUV,55,147.144,-39.3612,25/09/2018,IV,Beagle AMP,61,0.284842335,Open,1,3,1,2,,3,3,3,,1,,4,20,17,MBH
Beagle_AMP_Stereo_BRUV,56,147.078,-39.0746,21/10/2018,Fished,Beagle AMP,56,0.01515253,Open,0,5,,,,2,,1,6,,6,,20,15,MBH
Beagle_AMP_Stereo_BRUV,57,147.128,-39.3401,25/09/2018,IV,Beagle AMP,62,0.287019057,Open,1,10,,1,,2,,3,,,4,,20,10,MBH
Beagle_AMP_Stereo_BRUV,59,147.136,-39.3564,25/09/2018,IV,Beagle AMP,62,0.285629402,Open,1,5,,1,,,1,,4,3,6,,20,15,MBH
