"","x","y","inclusion.probabilities","ID","DropC"
"30855",-885385.224560827,-3839997.85355526,1,1696909,30855
"30856",-644952.692668788,-3694200.51256684,1,415922,30856
"30857",-1281670.0864739,-3906242.48718895,1,2277969,30857
"30858",-897214.623423904,-3775231.89477947,1,1127469,30858
"30859",-753191.692265942,-3687694.34319211,1,358356,30859
"30860",-1161601.68801367,-3935520.24937526,1,2535775,30860
"30861",-777146.224963673,-3804213.92199421,1,1382675,30861
"30862",-1065487.82225117,-3877260.45997421,1,2023900,30862
"30863",-681032.359201173,-3745954.13259316,1,870800,30863
"30864",-1305920.35414321,-3964502.27659,1,2790087,30864
"30865",-921464.891093211,-3833491.68418053,1,1639587,30865
"30866",-807311.192064519,-3726731.35944053,1,701373,30866
"30867",-1287880.52087702,-3945279.50343737,1,2621148,30867
"30868",-903425.057827019,-3813973.17605632,1,1468048,30868
"30869",-662992.525934981,-3668471.57003947,1,189661,30869
"30870",-1359744.11897021,-4003539.29283842,1,3133105,30870
"30871",-975288.655920211,-3872232.96545737,1,1980005,30871
"30872",-1071402.52168271,-3916001.74125105,1,2364480,30872
"30873",-1119607.32204975,-3896483.23312684,1,2192717,30873
"30874",-735151.85899975,-3765472.64071737,1,1042217,30874
"30875",-831265.72476225,-3853010.19230474,1,1811492,30875
"30876",-699072.192467365,-3707212.85131632,1,530139,30876
"30877",-843390.858596904,-3736194.87853105,1,784451,30877
"30878",-963459.257057135,-3911269.98170579,1,2323245,30878
"30879",-1011368.3224526,-3889977.06375211,1,2135883,30879
"30880",-626912.859402596,-3758966.47134263,0.374458287158865,985383,30880
"30881",-1386951.73635529,-3977514.61533947,1,2904213,30881
"30882",-762063.74141325,-3700706.68194158,1,472726,30882
"30883",-1242633.07022575,-3919254.82593842,1,2392501,30883
"30884",-858177.60717575,-3788244.23352895,1,1242001,30884
"30885",-690200.143320058,-3681188.17381737,1,301369,30885
"30886",-930336.940240519,-3885245.30420684,1,2094557,30886
"30887",-1026450.80600302,-3929014.08000053,1,2479032,30887
"30888",-798143.407945635,-3739447.96321842,1,813204,30888
"30889",-1278712.73675813,-3957996.10721526,1,2732979,30889
"30890",-894257.273708135,-3826985.51480579,1,1582479,30890
"30891",-654120.476787673,-3720225.19006579,1,644691,30891
"30892",-870302.741010404,-3749207.21728053,1,898760,30892
"30893",-725984.074880865,-3661965.40066474,1,132248,30893
"30894",-1188513.57042717,-3909495.57187632,1,2306884,30894
"30895",-804058.107377173,-3778484.97946684,1,1156384,30895
"30896",-1092399.70466467,-3908904.10193316,1,2302009,30896
"30897",-948376.773506711,-3865135.32613947,1,1917696,30897
"30898",-780103.574679442,-3719337.98515105,1,636465,30898
"30899",-1260672.90349194,-3937886.12914789,1,2556240,30899
"30900",-876217.440441942,-3806875.53673842,1,1405740,30900
"30901",-636080.643521481,-3661078.19575,1,124752,30901
"30902",-984456.440039096,-3903876.60741632,1,2258174,30902
"30903",-1128479.37119706,-3889385.59380895,1,2130287,30903
"30904",-744023.908147058,-3758375.00139947,1,979787,30904
"30905",-840137.773909558,-3845616.81801526,1,1746462,30905
"30906",-672160.310053865,-3700115.21199842,1,467830,30906
