Field1,x,y,inclusion_,ID,DropC,Latitude,Longitude,Sample
"72609",-1294091.00000000000,-3948828.00000000000,1.00000000000,53966218.00000000000,"72609",-34.42290000000,119.83500000000,Br173
"72823",-1272798.00000000000,-3959771.00000000000,1.00000000000,54482218.00000000000,"72823",-34.54280000000,120.05300000000,Br174
"73092",-1304442.00000000000,-3917185.00000000000,1.00000000000,52474175.00000000000,"73092",-34.12760000000,119.76200000000,Br175
"73180",-1310652.00000000000,-3974262.00000000000,1.00000000000,55165346.00000000000,"73180",-34.63450000000,119.62400000000,Br176
"73540",-1279600.00000000000,-3966868.00000000000,0.37445830000,54816851.00000000000,"73540",-34.59980000000,119.97100000000,Br177
"73707",-1290246.00000000000,-3953264.00000000000,1.00000000000,54175391.00000000000,"73707",-34.46670000000,119.87100000000,Br178
"73917",-1293204.00000000000,-3957405.00000000000,1.00000000000,54370597.00000000000,"73917",-34.50090000000,119.83400000000,Br179
"74076",-1307990.00000000000,-3943801.00000000000,1.00000000000,53729123.00000000000,"74076",-34.36340000000,119.69100000000,Br180
"75022",-1289063.00000000000,-3961841.00000000000,1.00000000000,54579771.00000000000,"75022",-34.54500000000,119.87400000000,Br181
"75397",-1308582.00000000000,-3979289.00000000000,0.37445830000,55402401.00000000000,"75397",-34.68190000000,119.64000000000,Br182
"75550",-1299414.00000000000,-3933154.00000000000,1.00000000000,53227168.00000000000,"75550",-34.27640000000,119.79700000000,Br183
"76039",-1306216.00000000000,-3926057.00000000000,1.00000000000,52892489.00000000000,"76039",-34.20560000000,119.73200000000,Br184
"76844",-1300597.00000000000,-3966277.00000000000,1.00000000000,54788892.00000000000,"76844",-34.57310000000,119.74300000000,Br185
"76992",-1303554.00000000000,-3952673.00000000000,1.00000000000,54147458.00000000000,"76992",-34.44780000000,119.72800000000,Br186
"78087",-1278713.00000000000,-3950307.00000000000,1.00000000000,54035990.00000000000,"78087",-34.45170000000,120.00000000000,Br187
"78299",-1304146.00000000000,-3963615.00000000000,1.00000000000,54663384.00000000000,"78299",-34.54550000000,119.70800000000,Br188
"79033",-1311539.00000000000,-3968347.00000000000,1.00000000000,54886463.00000000000,"79033",-34.58050000000,119.62100000000,Br189
"79389",-1277530.00000000000,-3961249.00000000000,1.00000000000,54551922.00000000000,"79389",-34.55130000000,120.00000000000,Br190
"79673",-1309173.00000000000,-3918072.00000000000,1.00000000000,52515991.00000000000,"79673",-34.13070000000,119.71000000000,Br191
"79917",-1305920.00000000000,-3929606.00000000000,1.00000000000,53059818.00000000000,"79917",-34.23790000000,119.73100000000,Br192
"80295",-1276347.00000000000,-3955039.00000000000,1.00000000000,54259102.00000000000,"80295",-34.49670000000,120.02000000000,Br193
"81242",-1306216.00000000000,-3973374.00000000000,1.00000000000,55123529.00000000000,"81242",-34.63110000000,119.67300000000,Br194
"81397",-1297344.00000000000,-3951786.00000000000,1.00000000000,54105647.00000000000,"81397",-34.44610000000,119.79600000000,Br195
"81620",-1275460.00000000000,-3962728.00000000000,1.00000000000,54621649.00000000000,"81620",-34.56670000000,120.02100000000,Br196
"82506",-1287289.00000000000,-3948533.00000000000,1.00000000000,53952297.00000000000,"82506",-34.42710000000,119.90900000000,Br197
"82717",-1298823.00000000000,-3960362.00000000000,1.00000000000,54510018.00000000000,"82717",-34.52180000000,119.77000000000,Br198
"82868",-1301780.00000000000,-3938478.00000000000,1.00000000000,53478152.00000000000,"82868",-34.32190000000,119.76400000000,Br199
"83604",-1310356.00000000000,-3954152.00000000000,1.00000000000,54217155.00000000000,"83604",-34.45410000000,119.65200000000,Br200
