Easting,Northing,inclusion_,ID,Site,Lat,Lon
"303452","6225688",0.08763000900,"6992726",SWC-NPZ-BOSS-126,-34.09120000000,114.87000000000
"307140","6229836",0.89870777900,"12560264",SWC-NPZ-BOSS-127,-34.05450000000,114.91000000000
"299092","6228008",0.89870777900,"10105076",SWC-NPZ-BOSS-128,-34.06940000000,114.82300000000
"294396","6226296",0.89870777900,"7806398",SWC-NPZ-BOSS-129,-34.08390000000,114.77200000000
"299888","6222268",0.89870777900,"2402195",SWC-NPZ-BOSS-130,-34.12130000000,114.83000000000
"294520","6225564",0.89870777900,"6824085",SWC-NPZ-BOSS-131,-34.09060000000,114.77300000000
"297876","6222796",0.01366221200,"3110268",SWC-NPZ-BOSS-132,-34.11620000000,114.80800000000
"307268","6227560",0.08763000900,"9505904",SWC-NPZ-BOSS-133,-34.07500000000,114.91100000000
"302236","6228780",0.08763000900,"11141886",SWC-NPZ-BOSS-134,-34.06310000000,114.85700000000
"294184","6229880",0.89870777900,"12616073",SWC-NPZ-BOSS-135,-34.05160000000,114.77000000000
"300056","6225848",0.89870777900,"7206597",SWC-NPZ-BOSS-136,-34.08910000000,114.83300000000
"304080","6226340",0.89870777900,"7867867",SWC-NPZ-BOSS-137,-34.08540000000,114.87700000000
"307436","6222676",0.89870777900,"2951618",SWC-NPZ-BOSS-138,-34.11900000000,114.91200000000
"306008","6229024",0.01366221200,"11470277",SWC-NPZ-BOSS-139,-34.06160000000,114.89800000000
"304668","6222920",0.08763000900,"3278374",SWC-NPZ-BOSS-140,-34.11630000000,114.88200000000
"293600","6222556",0.01366221200,"2787119",SWC-NPZ-BOSS-141,-34.11750000000,114.76200000000
"298296","6224916",0.08763000900,"5955413",SWC-NPZ-BOSS-142,-34.09710000000,114.81400000000
"294772","6226380",0.89870777900,"7919220",SWC-NPZ-BOSS-143,-34.08330000000,114.77600000000
"308188","6222352",0.89870777900,"2516998",SWC-NPZ-BOSS-144,-34.12210000000,114.92000000000
"290748","6225648",0.89870777900,"6935870",SWC-NPZ-BOSS-145,-34.08910000000,114.73200000000
"296112","6223452",0.08763000900,"3990179",SWC-NPZ-BOSS-146,-34.10990000000,114.79000000000
"305840","6225772",0.08763000900,"7106051",SWC-NPZ-BOSS-147,-34.09080000000,114.89500000000
"308524","6230164",0.89870777900,"13000786",SWC-NPZ-BOSS-148,-34.05180000000,114.92500000000
"309196","6223328",0.08763000900,"3827042",SWC-NPZ-BOSS-149,-34.11350000000,114.93100000000
"307856","6224792",0.89870777900,"5791395",SWC-NPZ-BOSS-150,-34.10000000000,114.91700000000
